id,start,end,label,category,region,certainty,uncertainty,source,link
east-west-schism,1054-07-16,,East–West Schism,religion,EUROPE,exact,,Contemporary accounts,
bernhard-of-clairvaux,1091,1153,Bernhard of Clairvaux,religion,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
sufi-orders,1100,1400,Sufi orders spread across the Islamic world,religion,MIDDLE_EAST,approx,50,Arabic and Persian sources,
bhakti-movement,1200,1700,Bhakti devotional movement,religion,ASIA_SOUTH,approx,50,Devotional literature,
medieval-inquisition,1231,1500,Medieval Inquisition,religion,EUROPE,approx,20,Papal and inquisitorial records,
flagellant-movement,1349,1350,Flagellant movement follows the Black Death,religion,EUROPE,year,,Contemporary chronicles,
avignon-papacy,1309,1377,Avignon Papacy,religion,EUROPE,year,,Papal records,
western-schism,1378,1417,Western Schism,religion,EUROPE,year,,Conciliar records,
european-witch-trials,1450,1750,European witch trials,religion,EUROPE,approx,25,Trial records,
savonarola,1452,1498,Savonarola,religion,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
spanish-inquisition,1478,1834,Spanish Inquisition,religion,EUROPE,year,,Spanish state records,
sikhism-founded,1499,,Guru Nanak founds the Sikh tradition,religion,ASIA_SOUTH,approx,5,Sikh sources,
luther,1483,1546,Luther,religion,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
zwingli,1484,1531,Zwingli,religion,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
melanchton,1497,1560,Melanchton,religion,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
calvin,1509,1564,Calvin,religion,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
ninety-five-theses,1517-10-31,,Luther's Ninety-five Theses,religion,EUROPE,exact,,Primary text,
protestant-reformation,1517,1648,Protestant Reformation,religion,EUROPE,year,,State and church records,
jesuit-missions,1540,1773,Jesuit missions worldwide,religion,GLOBAL,year,,Jesuit archives,
council-of-trent,1545,1563,Council of Trent and the Catholic Reformation,religion,EUROPE,year,,Conciliar acts,
french-wars-of-religion,1562,1598-04-13,French Wars of Religion,religion,EUROPE,exact,,French state records,
puritan-migration,1620,1640,Puritan migration to New England,religion,AMERICAS,year,,Colonial records,
first-great-awakening,1730,1755,First Great Awakening,religion,AMERICAS,approx,5,Sermons and church records,
wahhabi-movement,1744,,Wahhabi movement founded in Najd,religion,MIDDLE_EAST,year,,Arabic sources,
pacific-missions,1797,1900,Christian missions across the Pacific islands,religion,OCEANIA,year,,Mission society records,
second-great-awakening,1790,1840,Second Great Awakening,religion,AMERICAS,year,,Church records,
african-christian-missions,1800,1960,Christian missions across sub-Saharan Africa,religion,AFRICA,year,,Mission society records,
shinbutsu-separation,1868,1873,Shinto and Buddhism separated in Meiji Japan,religion,ASIA_EAST,year,,Japanese state records,
first-vatican-council,1869,1870,First Vatican Council,religion,EUROPE,year,,Conciliar acts,
pentecostalism,1906,,Azusa Street revival launches Pentecostalism,religion,AMERICAS,year,,Contemporary accounts,
african-independent-churches,1900,2000,African independent churches spread,religion,AFRICA,year,,Church and census records,
abolition-of-the-caliphate,1924-03-03,,Abolition of the Ottoman caliphate,religion,MIDDLE_EAST,exact,,Turkish state records,
second-vatican-council,1962,1965,Second Vatican Council,religion,EUROPE,year,,Conciliar acts,
islamic-revival,1970,2000,Islamic revival,religion,MIDDLE_EAST,approx,10,Contemporary scholarship,
global-pentecostal-growth,1970,2020,Global growth of Pentecostal and charismatic Christianity,religion,GLOBAL,year,,Census and survey data,
neronian-persecution,64,,Nero's persecution of Christians,religion,EUROPE,year,,Tacitus; Suetonius,https://en.wikipedia.org/wiki/Neronian_persecution
qumran-community,100 BC,68,Qumran community and the Dead Sea Scrolls,religion,MIDDLE_EAST,approx,25,Dead Sea Scrolls; Qumran archaeology,https://en.wikipedia.org/wiki/Qumran
pali-canon-written,29 BC,,Pali Canon written down in Sri Lanka,religion,ASIA_SOUTH,approx,10,Mahavamsa; Dipavamsa,https://en.wikipedia.org/wiki/P%C4%81li_Canon
latter-day-saints-founded,1830-04-06,,Church of Jesus Christ of Latter-day Saints founded,religion,AMERICAS,exact,,Church records,https://en.wikipedia.org/wiki/Church_of_Jesus_Christ_of_Latter-day_Saints
