id,start,end,label,category,region,certainty,uncertainty,source,link
nuclear-fission,1938-12,1945-08-06,From nuclear fission to the atomic bomb,science,GLOBAL,year,,Primary papers; state records,
green-revolution,1950,1980,Green Revolution,science,GLOBAL,year,,FAO records,
dna-structure,1953-04-25,,Watson and Crick publish the structure of DNA,science,EUROPE,exact,,Primary paper,
polio-vaccine,1955-04-12,,Salk polio vaccine declared effective,science,AMERICAS,exact,,Public health records,
space-age,1957-10-04,1969-07-20,From Sputnik to the Moon landing,science,GLOBAL,exact,,State records,
smallpox-eradicated,1980-05-08,,Smallpox declared eradicated,science,GLOBAL,exact,,World Health Organization,
hiv-aids-pandemic,1981-06-05,,HIV/AIDS pandemic recognised,science,GLOBAL,exact,,World Health Organization,
personal-computing,1977,1995,Rise of personal computing,science,AMERICAS,year,,Industry records,
world-wide-web,1991-08-06,,First public web page,science,EUROPE,exact,,CERN records,
human-genome,1990,2003-04-14,Human Genome Project,science,GLOBAL,exact,,Consortium records,
mobile-internet,2007,2015,Mobile internet reaches mass adoption,science,GLOBAL,year,,ITU statistics,
covid-19-pandemic,2019-12,2023-05-05,COVID-19 pandemic,science,GLOBAL,exact,,World Health Organization,
mrna-vaccines,2020-12-08,,First mRNA vaccines deployed,science,GLOBAL,exact,,Public health records,
